episode,score,target_score,sum_dones,env_done,collision
0,273.96209584501275,46.13130071533028,3,True,False
1,147.11015132572376,55.33657947395176,2,False,False
2,-35.710431941958596,41.78762145031462,0,False,True
3,286.8547897606269,32.396531462433174,3,True,False
4,284.29468653955183,39.16181022724686,3,True,False
5,308.8373320040759,45.605736359123526,3,True,False
6,276.935554815179,23.25724361525238,3,True,False
7,301.17925430545887,22.614748257740146,3,True,False
8,306.3619116652549,41.74668636745164,3,True,False
9,275.9893927363408,18.127193888122985,3,True,False
10,288.3330653681969,38.957238643573014,3,True,False
11,296.6479448615175,48.13740251556057,3,True,False
12,288.00169888027733,36.14645279907225,3,True,False
13,314.6403392248964,22.028327970726014,3,True,False
14,323.35870138194116,30.988139822568208,3,True,False
15,280.27442802007164,31.209787056818648,3,True,False
16,325.2041292677388,42.87157804171206,3,True,False
17,13.075465001383932,53.50634486777953,1,False,True
18,289.3087378654219,30.609001912838895,3,True,False
19,266.77961240012644,34.38534793613452,3,True,False
20,-50.88505314108683,6.294539813594435,-2,False,True
21,267.02108404318756,29.49770861379634,3,True,False
22,303.6640981496672,40.86888574886521,3,True,False
23,283.96203048415305,31.487599804456536,3,True,False
24,286.08849097892755,42.559739539377375,3,True,False
25,283.0424169153931,30.000379887786725,3,True,False
26,296.1806634331001,36.77664080014133,3,True,False
27,272.9417650285544,46.422034918310366,3,True,False
28,304.1776669476839,53.40828882008087,3,True,False
29,285.68167845638266,28.061531531569226,3,True,False
30,304.2530928398376,42.4583778917704,3,True,False
31,302.8769610883462,40.90297068387855,3,True,False
32,295.02876422293434,42.28822019888499,3,True,False
33,272.4623138439551,35.80404945168079,3,True,False
34,359.70044008183527,65.11296984900513,3,True,False
35,307.32056524424036,22.16910065077998,3,True,False
36,268.67478726303165,40.05176721289924,3,True,False
37,299.33155175785055,50.90422345990028,3,True,False
38,299.1232125053835,38.43393363242222,3,True,False
39,279.95263622215543,28.580656043600698,3,True,False
40,256.7289052746766,33.097430836733245,3,True,False
41,-30.978581806370478,52.57243941607656,-1,False,True
42,341.9651147100853,59.67762780829117,3,True,False
43,295.6015927754705,37.4332802021447,3,True,False
44,411.70395162125953,46.1754581892971,3,True,False
45,277.3243211595933,23.79637149887848,3,True,False
46,291.8457768538247,37.57555732443945,3,True,False
47,291.92996931742323,43.662795498184316,3,True,False
48,273.7711147329503,43.995394954849615,3,True,False
49,354.27810430143927,55.81819314281855,3,True,False
50,302.94297439091673,48.53001144997475,3,True,False
51,283.059027413029,34.44357533884678,3,True,False
52,312.32712288404906,43.154405915088205,3,True,False
53,308.2568984845808,51.129488759733924,3,True,False
54,266.93807762844045,27.993537798088166,3,True,False
55,282.3710479784018,44.611219530882295,3,True,False
